language,discipline,adjective,total_count,affect_count,judgement_count,appreciation_count,ambiguous_count,p_affect,p_judgement,p_appreciation,example_affect,example_judgement,example_appreciation,example_ambiguous
en,Art,good,62,2,3,4,53,0.2222,0.3333,0.4444,"Now , it turns out that I was pretty good at that . || And he said , "" Well , of course , but actually , I know him better than anyone who ever met him , because I got to read all of his letters . ""","Well , I remember in third grade , I had this moment where my father , who never takes off from work , he 's a classical blue collar , a working - class immigrant person , going to school to see his son , how he 's doing , and the teacher said to him , he said , "" You know , John is good at math and art . "" || The next day I saw him talking to a customer at our tofu store , and he said , "" You know , John 's good at math . "" || Would n't it be better ?","You are alive , and that 's pretty good right now . || So , I hopefully am writing , you know , books that are good for children and for adults . || And then I spent a lot of time in the space of interactive graphics and things like this , and I stopped doing it because my students at MIT got so much better than myself , so I had to hang up my mouse . || There 's something very different about it , something we should figure out what is good about how we did it , even in this new era .","Do n't you love a good nap ? || So my best friends in life were the characters I read about in books . || When I was in the third grade , I wrote a book for the first time , "" The Owl Who Thought He Was The Best Flyer . "" || And so I took this picture , and I handed it to him . And we sat in silence for that brief moment , and he said to me , "" You 're really talented . "" "" You 're really good . || On my 14th birthday , my grandfather and my grandmother gave me the best birthday present ever : a drafting table that I have worked on ever since ."
en,Art,new,58,0,0,1,57,0.0,0.0,1.0,,,"So the idea of an open architecture , an open knowledge , is not new to my neck of the desert .","So two people who grew up in the Great Depression , there in the very , very early ' 80s took on a new kid . || I was the Cousin Oliver of the sitcom of the Krosoczka family , the new kid who came out of nowhere . || You know , the school newspaper needs a new cartoonist , and you should be the cartoonist . || Please let me know if you 're ever in New York City . "" || So the next week I "" happened "" to be in New York ."
en,Art,other,46,0,0,0,46,0.0,0.0,0.0,,,,"I , like thousands of other homeless youth , disappeared into the shadows of the city while the whole world kept spinning as if nothing at all had gone terribly wrong . || So from sixth through 12th grade , once , twice , sometimes three times a week , I would take classes at the art museum , and I was surrounded by other kids who loved to draw , other kids who shared a similar passion . || These are clearly biblical archetypes , and the thinking behind that was to create positive , globally - resonating storylines that could be tied to the same things that other people were pulling mean messages out of because then the person that 's using religion for the wrong purpose just becomes a bad man with a bad message . || And he controls them from the top down -- whereas when they work for the other side , eventually , when they find out this is the wrong person , they 've been manipulated , they actually , each one has a different , colorful kind of dress . || In other words , good Hindus and good Jews do n't act this way ."
en,Art,own,44,0,0,0,44,0.0,0.0,0.0,,,,"But I had my grandparents , my maternal grandparents Joseph and Shirley , who adopted me just before my third birthday and took me in as their own , after they had already raised five children . || And afterwards , we all went back to our classrooms and we drew our own renditions of his main character , Rotten Ralph . || We had to write our own Greek myth , our own creation story , so I wrote a story about an owl who challenged Hermes to a flying race , and the owl cheated , and Hermes , being a Greek god , grew angry and bitter , and turned the owl into a moon , so the owl had to live the rest of his life as a moon while he watched his family and friends play at night . || And it was a story that was told with words and pictures , exactly what I do now for a living , and I sometimes let the words have the stage on their own , and sometimes I allowed the pictures to work on their own to tell the story . || And I 'd make my own comics too , and this was another way for me to tell stories , through words and through pictures ."
en,Art,more,42,0,0,0,42,0.0,0.0,0.0,,,,"They each smoked two packs a day , each , nonfiltered , and by the time I was six , I could order a Southern Comfort Manhattan , dry with a twist , rocks on the side , the ice on the side so you could fit more liquor in the drink . || They 're writing in big handwriting to take more gold . "" || To which he said , "" Let them be , because what they 're giving us is worth a lot more than what we 're paying them . "" || And by stopping them , he has more of a fascist agenda , where he gets some of The 99 to work for him -- they 're all wearing cookie - cutter , same color uniforms . || Dana , I ca n't see where to grab hold . I need more light ."
en,Art,different,38,2,0,1,35,0.6667,0.0,0.3333,So how do we change the stigma around looking different or not fitting into this narrow definition of beauty ? || Let go of trying to change it or even wanting it to be different .,,Fair enough . But I wanted interviews that were different .,"And now it 's 2010 , and there are 99 heroes from 99 different countries . || And he controls them from the top down -- whereas when they work for the other side , eventually , when they find out this is the wrong person , they 've been manipulated , they actually , each one has a different , colorful kind of dress . || It 's about mappings between different perceptual domains , like hardness , sharpness , brightness and darkness , and the phonemes that we 're able to speak with . || And so I 've been beginning , with a variety of different projects , to understand how people can relate to machines with their eyes . || The idea is that it 's an image wholly constructed from its own history of being viewed by different people in an installation ."
en,Art,first,37,0,0,0,37,0.0,0.0,0.0,,,,"So throughout my childhood , my mother was incarcerated and I did n't have my father because I did n't even learn his first name until I was in the sixth grade . || I went to Gates Lane Elementary School in Worcester , Massachusetts , and I had wonderful teachers there , most notably in first grade Mrs. Alisch . || When I was in the third grade , I wrote a book for the first time , "" The Owl Who Thought He Was The Best Flyer . "" || He instantly saw that I was the cause of the commotion , and for the first time in my life , I was sent to the hall , and I thought , "" Oh no , I 'm doomed . || And when I was 17 , I met my father for the first time , upon which I learned I had a brother and sister I had never known about ."
en,Art,great,33,1,1,2,29,0.25,0.25,0.5,"And I had a show in London recently where my friends invited me to come to London for four days to sit in a sandbox , and I said great .",It feels great .,"The browser was great , but the browser was very primitive , very narrow bandwidth . || It 's like , art is supposed to be enigmatic , so when you say , like , "" I do n't get it , "" like , oh , that 's great .","So two people who grew up in the Great Depression , there in the very , very early ' 80s took on a new kid . || Rusty , who was a great hamster and lived a great long life when I was in fourth grade . || I kept making comics , and at the Worcester Art Museum , I was given the greatest piece of advice by any educator I was ever given . || He said , "" You have a great style . || And I travel the country visiting countless schools , letting lots of kids know that they draw great cats ."
en,Art,old,33,0,7,2,24,0.0,0.7778,0.2222,,"For obvious reasons , it does n't seem that old anymore to me . || And Moi is 35 years old . || This is Yadira , and Yadira is five years old . || And the shopkeeper would say , "" It 's old . "" "" Tell us more . "" "" Oh , it 's really old . "" And he saw , over and over , the antique 's value was all about it being old . || And he realized , it is n't about old or new .","This is 20 years old , so it 's kind of a -- Let 's see , this is — I love the French film "" The Red Balloon . "" || And the shopkeeper would say , "" It 's old . "" "" Tell us more . "" "" Oh , it 's really old . "" And he saw , over and over , the antique 's value was all about it being old .","For a two - year - old , that is like a tattoo . || That was easy , but then I made the decision , maybe arbitrary , that they needed to be people of a certain age , which at that point , when I created this program , seemed really old . || But the second part of it -- and the older I get , the more convinced I am that that 's true . It 's amazing what people will say when they know how the story turned out . || That 's the one advantage that older people have . || And she said , "" I 'm his old girlfriend , Maureen Stapleton , and I could never do it . """
en,Art,little,31,0,0,0,31,0.0,0.0,0.0,,,,"Well , in English class , in ninth grade , my friend John , who was sitting next to me , laughed a little bit too hard . || I 've seen people have "" Punk Farm "" birthday parties , people have dressed up as "" Punk Farm "" for Halloween , a "" Punk Farm "" baby room , which makes me a little nervous for the child 's well - being in the long term . || And when I see pictures like this , of parents or uncles who think it 's cute to have a little child holding a Koran and having a suicide bomber belt around them to protest something , the hope is by linking enough positive things to the Koran , that one day we can move this child from being proud in the way they 're proud there , to that . || Well , they have other , little bit of advantage , but they also have some disadvantages , but the one thing they or we have is that we 've reached the point in life where we know how the story turned out . || It was n't this arm - wrestle , but it was a little surprising for the person involved ."
