folder,language,discipline,num_files,total_tokens,total_sentences,total_pairs,avg_tokens_per_file,avg_sentences_per_file,avg_pairs_per_file,avg_tokens_per_sentence
conllu/conllu_file/de/Art,de,Art,16,38655,2294,2278,2415.9375,143.375,142.375,16.850479511769834
conllu/conllu_file/en/Art,en,Art,16,41990,2210,2194,2624.375,138.125,137.125,19.0
conllu/conllu_file/de/Bus,de,Bus,16,35368,2215,2199,2210.5,138.4375,137.4375,15.967494356659142
conllu/conllu_file/en/Bus,en,Bus,16,37702,2078,2062,2356.375,129.875,128.875,18.143407122232915
conllu/conllu_file/de/Edu,de,Edu,15,37007,2177,2162,2467.133333333333,145.13333333333333,144.13333333333333,16.99908130454754
conllu/conllu_file/en/Edu,en,Edu,15,40788,1957,1942,2719.2,130.46666666666667,129.46666666666667,20.842105263157894
conllu/conllu_file/de/Ent,de,Ent,15,33148,2156,2141,2209.866666666667,143.73333333333332,142.73333333333332,15.374768089053804
conllu/conllu_file/en/Ent,en,Ent,15,35102,2021,2006,2340.133333333333,134.73333333333332,133.73333333333332,17.3686293913904
conllu/conllu_file/de/His,de,His,15,31532,1811,1796,2102.133333333333,120.73333333333333,119.73333333333333,17.41137493097736
conllu/conllu_file/en/His,en,His,15,33622,1679,1664,2241.4666666666667,111.93333333333334,110.93333333333334,20.025014889815367
conllu/conllu_file/de/Med,de,Med,17,44546,2502,2485,2620.3529411764707,147.1764705882353,146.1764705882353,17.804156674660273
conllu/conllu_file/en/Med,en,Med,17,46943,2410,2393,2761.3529411764707,141.76470588235293,140.76470588235293,19.478423236514523
conllu/conllu_file/de/Phi,de,Phi,15,44765,2689,2674,2984.3333333333335,179.26666666666668,178.26666666666668,16.647452584603943
conllu/conllu_file/en/Phi,en,Phi,15,46776,2586,2571,3118.4,172.4,171.4,18.08816705336427
conllu/conllu_file/de/Pol,de,Pol,17,45871,2484,2467,2698.294117647059,146.11764705882354,145.11764705882354,18.46658615136876
conllu/conllu_file/en/Pol,en,Pol,17,48391,2370,2353,2846.529411764706,139.41176470588235,138.41176470588235,20.418143459915612
conllu/conllu_file/de/Psy,de,Psy,17,41821,2580,2563,2460.0588235294117,151.76470588235293,150.76470588235293,16.20968992248062
conllu/conllu_file/en/Psy,en,Psy,17,44969,2471,2454,2645.235294117647,145.35294117647058,144.35294117647058,18.198704977741805
conllu/conllu_file/de/Sci,de,Sci,22,54849,3143,3121,2493.1363636363635,142.86363636363637,141.86363636363637,17.451161310849507
conllu/conllu_file/en/Sci,en,Sci,22,59151,3031,3009,2688.681818181818,137.77272727272728,136.77272727272728,19.515341471461564
conllu/conllu_file/de/Tech,de,Tech,25,42946,2389,2364,1717.84,95.56,94.56,17.976559229803264
conllu/conllu_file/en/Tech,en,Tech,25,46824,2317,2292,1872.96,92.68,91.68,20.208890807078117
