filepath,filename,folder,language,discipline,tokens,sentences,pairs,tokens_per_sentence
conllu/conllu_file/de/Art/Art10_de.conllu,Art10_de.conllu,conllu/conllu_file/de/Art,de,Art,976,40,39,24.4
conllu/conllu_file/de/Art/Art11_de.conllu,Art11_de.conllu,conllu/conllu_file/de/Art,de,Art,3686,192,191,19.197916666666668
conllu/conllu_file/de/Art/Art12_de.conllu,Art12_de.conllu,conllu/conllu_file/de/Art,de,Art,3680,224,223,16.428571428571427
conllu/conllu_file/de/Art/Art13_de.conllu,Art13_de.conllu,conllu/conllu_file/de/Art,de,Art,3759,205,204,18.336585365853658
conllu/conllu_file/de/Art/Art14_de.conllu,Art14_de.conllu,conllu/conllu_file/de/Art,de,Art,2357,152,151,15.506578947368421
conllu/conllu_file/de/Art/Art15_de.conllu,Art15_de.conllu,conllu/conllu_file/de/Art,de,Art,2268,147,146,15.428571428571429
conllu/conllu_file/de/Art/Art16_de.conllu,Art16_de.conllu,conllu/conllu_file/de/Art,de,Art,4072,182,181,22.373626373626372
conllu/conllu_file/de/Art/Art1_de.conllu,Art1_de.conllu,conllu/conllu_file/de/Art,de,Art,2078,110,109,18.89090909090909
conllu/conllu_file/de/Art/Art2_de.conllu,Art2_de.conllu,conllu/conllu_file/de/Art,de,Art,2999,189,188,15.867724867724867
conllu/conllu_file/de/Art/Art3_de.conllu,Art3_de.conllu,conllu/conllu_file/de/Art,de,Art,1460,81,80,18.02469135802469
conllu/conllu_file/de/Art/Art4_de.conllu,Art4_de.conllu,conllu/conllu_file/de/Art,de,Art,1496,79,78,18.936708860759495
conllu/conllu_file/de/Art/Art5_de.conllu,Art5_de.conllu,conllu/conllu_file/de/Art,de,Art,1989,163,162,12.202453987730062
conllu/conllu_file/de/Art/Art6_de.conllu,Art6_de.conllu,conllu/conllu_file/de/Art,de,Art,1995,98,97,20.357142857142858
conllu/conllu_file/de/Art/Art7_de.conllu,Art7_de.conllu,conllu/conllu_file/de/Art,de,Art,3352,251,250,13.354581673306773
conllu/conllu_file/de/Art/Art8_de.conllu,Art8_de.conllu,conllu/conllu_file/de/Art,de,Art,1580,114,113,13.859649122807017
conllu/conllu_file/de/Art/Art9_de.conllu,Art9_de.conllu,conllu/conllu_file/de/Art,de,Art,908,67,66,13.552238805970148
conllu/conllu_file/de/Bus/Bus10_de.conllu,Bus10_de.conllu,conllu/conllu_file/de/Bus,de,Bus,3001,150,149,20.006666666666668
conllu/conllu_file/de/Bus/Bus11_de.conllu,Bus11_de.conllu,conllu/conllu_file/de/Bus,de,Bus,1956,100,99,19.56
conllu/conllu_file/de/Bus/Bus12_de.conllu,Bus12_de.conllu,conllu/conllu_file/de/Bus,de,Bus,3521,223,222,15.789237668161435
conllu/conllu_file/de/Bus/Bus13_de.conllu,Bus13_de.conllu,conllu/conllu_file/de/Bus,de,Bus,2229,121,120,18.421487603305785
