en_form,en_sense,de_aligned_forms,de_aligned_counts,example_en_sentence,example_de_sentence,n_instances,total_en_form_instances,pct_of_form
American,Appreciation,afroamerikanisch,afroamerikanisch:1,"As you can see in this lab test , the exact same creatinine level , the concentration in the blood of the patient , automatically produces a different GFR estimate depending on whether or not the patient is African - American .","Wie in diesem Laborversuch zu sehen , produziert der genau gleiche Kreatinin - Wert , die Konzentration in dem Blut des Patienten , automatisch eine andere GFR - Schätzung , abhängig davon , ob der Patient afroamerikanisch ist oder nicht .",1,1,1.0
Arabic,Judgement,Arabisch,Arabisch:1,Noor is Arabic for light .,Noor ist Arabisch für Licht .,1,1,1.0
Brazilian,Appreciation,Brasilianer,Brasilianer:1,"The place that I turned to answer that question was to a man that many of you may not have ever heard of , and that is a Brazilian named Sergio Vieira de Mello who , as Chris said , was blown up in Iraq in 2003 .","Ich wandte mich für die Antwort auf diese Fragen an einen Mann von dem viele von Ihnen vielleicht nie gehört haben , das ist der Brasilianer Sergio Vieira de Mello , der wie Chris sagte , 2003 in Irak bei einer Explosion umkam .",1,1,1.0
Christian,Judgement,Christen,Christen:1,"We now have 15 sites . We have one in Kathmandu , Nepal ; Dharamsala , India ; Takaungu , Kenya -- Takaungu is one - third Christian , one - third Muslim and one - third animist , the community is -- Ollantaytambo , Peru , and Arctic Village , Alaska .","Heute haben wir 15 Anlagen , eine in Kathmandu in Nepal ; Dharamsala , Indien ; Takaungu , Kenia - in Takaungu gibt es 1/3 Christen , 1/3 Muslime und 1/3 Animisten - Ollantaytambo in Peru , und Arctic Village in Alaska .",1,1,1.0
European,Appreciation,europäisch,europäisch:1,"In that case , would n't they want to know something about my ancestry , which is just as much European as African ?","Würden sie in diesem Fall nicht etwas über meine Abstammung wissen wollen , die zugleich europäisch und afrikanisch ist ?",1,1,1.0
French,Affect,französiches,französiches:1,"They put it in a little tiny glass jar , with a wonderful enameled label on it , made it look French , even though it 's made in Oxnard , California .","Sie füllen ihn in ein kleines Einmachglas mit einem wundervollen Etikett darauf , was ihm ein französiches Aussehen gab , obwohl er aus Oxnard , Kalifornien kam .",1,1,1.0
Funny,Judgement,Funny,Funny:1,"They 're called "" Kinda Funny . ""","Sie heißen "" Kinda Funny "" .",1,1,1.0
Innocent,Affect,Innocent,Innocent:1,"Or in Zimbabwe , where I remember Innocent , after coming out of a prison where everybody stood up and said , "" I 've been here for one year , eight years , 12 years without a lawyer , "" he came and we had a training together and he said , "" I have heard it said "" -- because he had heard people mumbling and grumbling -- "" I have heard it said that we can not help to create justice because we do not have the resources . ""","Oder in Simbabwe , wo ich mich an Innocent erinnere , der aus einem Gefängnis kam wo jeder aufstand und sagte : "" Ich bin hier für ein Jahr , acht Jahre , 12 Jahre ohne Anwalt gewesen . "" Er kam und wir hatten eine gemeinsame Schulung und er sagte : "" Ich hörte es jemanden sagen "" - denn er hatte Menschen murmeln und grummeln gehört - "" Ich hörte es jemanden sagen , dass wir nicht helfen können , Gerechtigkeit zu schaffen , denn wir haben nicht die notwendigen Ressourcen . """,1,2,0.5
Innocent,Judgement,Innocent,Innocent:1,"It 's not only Innocent , who I told you about in Zimbabwe , but defenders all over the world who are looking for these pieces .","Es geht nicht nur um Innocent , von dem ich Ihnen erzählt habe , aus Simbabwe , aber um Verteidiger auf der ganzen Welt , die nach diesen Schlüsselelementen suchen .",1,2,0.5
Jewish,Judgement,Juden,Juden:1,"What would it feel like to be living in a world where the nation - state of Germany was executing people , especially if they were disproportionately Jewish ?","Wie es sich anfühlen würde , in einer Welt zu leben , in der deutsche Staat Menschen hinrichten ließ , besonders , wenn es viele Juden wären .",1,1,1.0
MAD,Affect,WÜTEND,WÜTEND:1,"I 'm SO MAD right now ! ""","Ich bin SO WÜTEND ! """,1,1,1.0
Near,Judgement,Near,Near:1,"Because I had them through 2002 in my book , "" The Singularity is Near . ""","da ich sie nur bis zu dem Jahr 2002 in meinem Buch "" The Singularity is Near "" hatte .",1,1,1.0
OK,Appreciation,"(NULL), OK, Ordnung, gut, okay","(NULL):1, OK:1, Ordnung:1, gut:1, okay:1","You can laugh , this is OK .","Sie können lachen , das ist OK .",5,9,0.5556
OK,Judgement,"(NULL), Ordnung, gut, okay","(NULL):1, Ordnung:1, gut:1, okay:1",And they say these things as if it 's OK .,"Und man hat den Eindruck , dass sie glauben , das wäre okay .",4,9,0.4444
Republican,Appreciation,Republikanisch,Republikanisch:1,"This was eight years ago , some people were more Republican back then .","Dies war vor acht Jahren , einige Leute waren dort eher Republikanisch .",1,1,1.0
