language,Domain,adjective,total_count,Affect_count,Judgement_count,Appreciation_count,ambiguous_count,p_Affect,p_Judgement,p_Appreciation,assigned_class,assigned_confidence,example_Affect,example_Judgement,example_Appreciation,example_ambiguous
en,Art,new,58,0,0,1,57,0.0,0.0,1.0,Appreciation,1.0,,,"So the idea of an open architecture , an open knowledge , is not new to my neck of the desert .","So two people who grew up in the Great Depression , there in the very , very early ' 80s took on a new kid . || I was the Cousin Oliver of the sitcom of the Krosoczka family , the new kid who came out of nowhere . || You know , the school newspaper needs a new cartoonist , and you should be the cartoonist . || Please let me know if you 're ever in New York City . "" || So the next week I "" happened "" to be in New York ."
en,Art,different,38,2,0,1,35,0.6667,0.0,0.3333,Affect,0.6667,So how do we change the stigma around looking different or not fitting into this narrow definition of beauty ? || Let go of trying to change it or even wanting it to be different .,,Fair enough . But I wanted interviews that were different .,"And now it 's 2010 , and there are 99 heroes from 99 different countries . || And he controls them from the top down -- whereas when they work for the other side , eventually , when they find out this is the wrong person , they 've been manipulated , they actually , each one has a different , colorful kind of dress . || It 's about mappings between different perceptual domains , like hardness , sharpness , brightness and darkness , and the phonemes that we 're able to speak with . || And so I 've been beginning , with a variety of different projects , to understand how people can relate to machines with their eyes . || The idea is that it 's an image wholly constructed from its own history of being viewed by different people in an installation ."
en,Art,old,33,0,7,2,24,0.0,0.7778,0.2222,Judgement,0.7778,,"For obvious reasons , it does n't seem that old anymore to me . || And Moi is 35 years old . || This is Yadira , and Yadira is five years old . || And the shopkeeper would say , "" It 's old . "" "" Tell us more . "" "" Oh , it 's really old . "" And he saw , over and over , the antique 's value was all about it being old . || And he realized , it is n't about old or new .","This is 20 years old , so it 's kind of a -- Let 's see , this is — I love the French film "" The Red Balloon . "" || And the shopkeeper would say , "" It 's old . "" "" Tell us more . "" "" Oh , it 's really old . "" And he saw , over and over , the antique 's value was all about it being old .","For a two - year - old , that is like a tattoo . || That was easy , but then I made the decision , maybe arbitrary , that they needed to be people of a certain age , which at that point , when I created this program , seemed really old . || But the second part of it -- and the older I get , the more convinced I am that that 's true . It 's amazing what people will say when they know how the story turned out . || That 's the one advantage that older people have . || And she said , "" I 'm his old girlfriend , Maureen Stapleton , and I could never do it . """
en,Art,same,27,0,0,1,26,0.0,0.0,1.0,Appreciation,1.0,,,"Content is the same , but you feel differently .","These are clearly biblical archetypes , and the thinking behind that was to create positive , globally - resonating storylines that could be tied to the same things that other people were pulling mean messages out of because then the person that 's using religion for the wrong purpose just becomes a bad man with a bad message . || And by stopping them , he has more of a fascist agenda , where he gets some of The 99 to work for him -- they 're all wearing cookie - cutter , same color uniforms . || So these are our live subtitles , that are being produced by a computer that knows the text of "" The Ursonate "" -- fortunately Jaap does too , very well -- and it is delivering that text at the same time as Jaap is . || And at the same time , it attempts to engage in what you might call familiar psycho-social gaze behaviors . || Same thing : gave her a picture , she held it up to her forehead ."
en,Art,much,22,1,0,0,21,1.0,0.0,0.0,Affect,1.0,"I got my paints , and I was n't a landscape painter , but I was n't really much of any kind of painter at all , so I had no attachment , no expectation , which allowed me to be reckless and free .",,,"It gave me so much strength to give myself permission to just block it all out and sing . || And when your parent is a drug addict , it 's kind of like Charlie Brown trying to kick the football , because as much as you want to love on that person , as much as you want to receive love from that person , every time you open your heart , you end up on your back . || So I loved writing so much that I 'd come home from school , and I would take out pieces of paper , and I would staple them together , and I would fill those blank pages with words and pictures just because I loved using my imagination . || I ca n't believe how much it costs to go to the prom . || Dana : There 's too much darkness ."
en,Art,able,22,10,2,3,7,0.6667,0.1333,0.2,Affect,0.6667,"We 've been able to license The 99 comic books into eight languages so far -- Chinese , Indonesian , Hindi , Urdu , Turkish . || It 's about mappings between different perceptual domains , like hardness , sharpness , brightness and darkness , and the phonemes that we 're able to speak with . || So , I was able to completely daydream my way through my life . || But I am able to make the transition from working for children and -- from working for adults to children , and back and forth , because , you know , I can say that I 'm immature , and in a way , that 's true . || And so , I was able to put that into this story , which is an alphabet , and hopefully go on to something else .","But it actually was n't until recently that we were able to expand our size range in a major way . || Through creativity and solidarity , Amber Hasan , Shea Cobb , Tuklor Senegal , The Sister Tour , myself , the people of Flint , Dexter Moon , Moses West and his atmospheric water generator have been able to provide 120,000 gallons of free , clean water .","Mujiba , from Malaysia : her main power is she 's able to answer any question . || If a computer speech recognition system is able to recognize what you 're saying , then it spells it out . || Leaders might be able to use these systems to better regulate how they work inside the heterarchy .","And I loved that thought , of being able to share my ideas through the printed page . || So the librarians find out and they get together a special solution , a chemical solution called King 's Water , that when mixed with 99 stones would be able to save all that culture and history in the books . || And it 's one of the most interesting technical challenges that 's very currently active in the computer sciences : being able to have a camera that can understand , from a fairly big distance away , how these little tiny balls are actually pointing in one way or another to reveal what you 're interested in , and where your attention is directed . || And some of the watches there , attempting to be beautiful and humorous -- maybe not attempting , hopefully succeeding . That to be able to talk about content , to break apart what you normally expect , to use humor and surprise , elegance and humanity in your work was really important to us . || For so long , the fashion industry has worked hard to set an ideal of beauty that celebrates thin , young , white , cisgender , able - bodied models as the ideal ."
en,Art,important,20,0,2,4,14,0.0,0.3333,0.6667,Appreciation,0.6667,,"Then there 's the celebrity interview , where it 's more important who 's asking the question than who answers . || That 's Frost - Nixon , where Frost seems to be as important as Nixon in that process .","And that 's why languages are so important , because they give us access to new worlds , not just people . || As someone who spends most of my time alone in a studio working , I had no idea that this kind of connection could be so important , so healing . || And this frame is important today , in this complex , ambiguous space , and artists and designers have a lot to teach us , I believe . || So these kind of systems , I believe , are important .","So the biggest moment for me , though , my most important job now is I am a dad myself , and I have two beautiful daughters , and my goal is to surround them by inspiration , by the books that are in every single room of our house to the murals I painted in their rooms to the moments for creativity where you find , in quiet times , by making faces on the patio to letting her sit in the very desk that I 've sat in for the past 20 years . || But in 1492 , two important things happen . || But really the most important question I ever asked , and most of the times when I talk about it , people kind of suck in their breath at my audacity , or cruelty , but I promise you it was the right question . || You know , getting kids used to different realities , I think , is so important . || And some of the watches there , attempting to be beautiful and humorous -- maybe not attempting , hopefully succeeding . That to be able to talk about content , to break apart what you normally expect , to use humor and surprise , elegance and humanity in your work was really important to us ."
en,Art,wonderful,17,0,0,1,16,0.0,0.0,1.0,Appreciation,1.0,,,"We hoped we 'd be funny , but we did n't know it would be a cover , and we did n't know that that image , at the moment that it happened , would be something that would be so wonderful for a lot of people .","I went to Gates Lane Elementary School in Worcester , Massachusetts , and I had wonderful teachers there , most notably in first grade Mrs. Alisch . || And I was looking around and I found this wonderful picture . || So , whenever he sees a suitcase in the house , because everybody 's always , you know , leaving , they 're always cranking this wonderful dog 's tail , and he runs to the other room . || So , you know , and I have lots of wonderful - looking friends . || And David Remnick , who was really wonderful about it , had one problem . He did n't like Al Zheimers , because he thought it would insult people with Alzheimer 's ."
en,Art,right,16,0,1,4,11,0.0,0.2,0.8,Appreciation,0.8,,"If you hit G , life 's okay , so I always say , "" Hit G , and it 's going to be all right .","And the premise of M&amp ; Co was , we do n't know anything , but that 's all right , we 're going to do it anyway . || It became a question my entire life , and that 's all right , because being good at math meant he bought me a computer , and some of you remember this computer , this was my first computer . || A traditional leader is always wanting to be right , whereas a creative leader hopes to be right .","I would go to church services on Wednesday evenings and , desperate for the relief the arts gave me , I would go a few hours early , slip downstairs and into a part of the world where the only thing that mattered was whether or not I could hit the right note in the song I was perfecting that week . || Number one , we have a thing within Islam that you do n't leave a boy and a girl alone together , because the third person is temptation or the devil , right ? || I think that 's there in all cultures , right ? || Now I went to Dubai , to an Arab Thought Foundation Conference , and I was waiting by the coffee for the right journalist . || Like I care , right ?"
en,Art,young,16,1,0,0,15,1.0,0.0,0.0,Affect,1.0,Another object or image that captured my imagination when I was younger was a Klan robe .,,,"We build with Liz , who has been on the streets most of her teenage years but turns to music to return to herself when her traumas feel too heavy for her young shoulders . || So I learned to write about myself in third person at a young age . || So after this experience , my art teacher , Mr. Shilale , he brought in these picture books , and I thought , "" Picture books for kids ! "" and I started writing books for young readers when I was a senior in high school . || As Christian iconography got changed , and swastikas were created out of crucifixes , Batman and Superman were created by Jewish young men in the United States and Canada , also going back to the Bible . || And it had nothing to do with the energy of being young ."
