adjective,gender,discipline,file_names,total_count,affect_count,judgement_count,appreciation_count,ambiguous_count,p_affect,p_judgement,p_appreciation,assigned_class,assigned_confidence,example_affect,example_judgement,example_appreciation,example_ambiguous
different,f,art,Art16_en.conllu || Art3_en.conllu || Art4_en.conllu || Art5_en.conllu,18,2,0,0,16,1.0,0.0,0.0,affect,1.0,So how do we change the stigma around looking different or not fitting into this narrow definition of beauty ? || Let go of trying to change it or even wanting it to be different .,,,"So , I get to put in all of the things that I love . Hopefully , a dialog between adults and children will happen on many different levels , and hopefully different kinds of humor will evolve . || I pored over all different types of fashion magazines at my local Barnes and Noble . || I believe it 's by celebrating beauty in all different forms , bold and unapologetically . || Different - size bodies are n't taken into account during the design process . || It 's about seeing people of all different gender expressions , different ability levels , different ages , different races and ethnicities , celebrated for their own unique beauty ."
good,f,art,Art10_en.conllu || Art16_en.conllu || Art1_en.conllu || Art3_en.conllu || Art4_en.conllu || Art5_en.conllu,17,0,0,1,16,0.0,0.0,1.0,appreciation,1.0,,,"So , I hopefully am writing , you know , books that are good for children and for adults .","Do n't you love a good nap ? || And almost , I would almost call it being simple - minded , but in the best sense of the word . || And I finally daydreamed my way into NYU , at a very good time , in 1967 , where I met a man who was trying to blow up the math building of NYU . || And that was a good thing to help , you know , the cause . || And as a matter of fact , it 's better not to know anything , because if you know too much , you 're stymied ."
able,f,art,Art16_en.conllu || Art3_en.conllu || Art4_en.conllu || Art5_en.conllu,13,8,2,0,3,0.8,0.2,0.0,affect,0.8,"So , I was able to completely daydream my way through my life . || But I am able to make the transition from working for children and -- from working for adults to children , and back and forth , because , you know , I can say that I 'm immature , and in a way , that 's true . || And so , I was able to put that into this story , which is an alphabet , and hopefully go on to something else . || And with him , I was able to do a project that was really fantastic . || And Rick and I were on our way to a party in the Bronx , and somebody said Bronxistan , and somebody said Ferreristan , and we came up with this New Yorker cover , which we were able to -- we did n't know what we were doin We were n't trying to be funny , we were n't trying to be -- well , we were trying to be funny actually , that 's not true .","But it actually was n't until recently that we were able to expand our size range in a major way . || Through creativity and solidarity , Amber Hasan , Shea Cobb , Tuklor Senegal , The Sister Tour , myself , the people of Flint , Dexter Moon , Moses West and his atmospheric water generator have been able to provide 120,000 gallons of free , clean water .",,"And some of the watches there , attempting to be beautiful and humorous -- maybe not attempting , hopefully succeeding . That to be able to talk about content , to break apart what you normally expect , to use humor and surprise , elegance and humanity in your work was really important to us . || For so long , the fashion industry has worked hard to set an ideal of beauty that celebrates thin , young , white , cisgender , able - bodied models as the ideal . || And this is an important piece of the puzzle that many young designers may not think about when they 're first starting their careers , but hiring a plus - size or a transgender photographer , or a woman of color as your casting director , or a black makeup artist -- hey , Fatima Thomas -- who intimately understands how important it is to be able to work with all skin tones : it 's essential to creating a holistically inclusive output , like this one ."
beautiful,f,art,Art16_en.conllu || Art3_en.conllu || Art5_en.conllu,12,1,0,0,11,1.0,0.0,0.0,affect,1.0,"We choose who is cast in our runway shows and campaigns , and ultimately , who is celebrated and considered beautiful , and who is not .",,,"And some of the watches there , attempting to be beautiful and humorous -- maybe not attempting , hopefully succeeding . That to be able to talk about content , to break apart what you normally expect , to use humor and surprise , elegance and humanity in your work was really important to us . || But I have been taking beautiful notes of drawings and I have a gorgeous onion from Murray Gell - Mann 's talk . || And I have a beautiful page of doodles from Jonathan Woodham 's talk . || But anyway , so we were in Venice , and this is our room . And I had this dream that I was wearing this fantastic green gown , and I was looking out the window , and it was really a beautiful thing . || So , "" My beautiful mother 's family fled Russia as well . Too many pogroms ."
much,f,art,Art10_en.conllu || Art16_en.conllu || Art3_en.conllu || Art4_en.conllu || Art5_en.conllu,11,1,0,0,10,1.0,0.0,0.0,affect,1.0,"I got my paints , and I was n't a landscape painter , but I was n't really much of any kind of painter at all , so I had no attachment , no expectation , which allowed me to be reckless and free .",,,"It gave me so much strength to give myself permission to just block it all out and sing . || And as a matter of fact , it 's better not to know anything , because if you know too much , you 're stymied . || I 'm going to read quickly -- and probably I 'm going to edit some , because I do n't have that much time left -- a few of the columns . || And basically , I was so , you know , it was so amusing , because I said , "" Well , how much space do I have ? "" || And I said , "" Yes , but how much space do I have ? """
wonderful,f,art,Art16_en.conllu || Art1_en.conllu,11,0,0,1,10,0.0,0.0,1.0,appreciation,1.0,,,"We hoped we 'd be funny , but we did n't know it would be a cover , and we did n't know that that image , at the moment that it happened , would be something that would be so wonderful for a lot of people .","So , whenever he sees a suitcase in the house , because everybody 's always , you know , leaving , they 're always cranking this wonderful dog 's tail , and he runs to the other room . || So , you know , and I have lots of wonderful - looking friends . || And David Remnick , who was really wonderful about it , had one problem . He did n't like Al Zheimers , because he thought it would insult people with Alzheimer 's . || And they said yes , and they left me completely alone , which was a gorgeous , wonderful thing . || White wrote such wonderful , whimsical -- and actually , Strunk -- and then you come to the rules and , you know , there are lots of grammar things . "" Do you mind me asking a question ? Do you mind my asking a question ? "" "" Would , could , should , or would , should , could . "" And "" would "" is Coco Chanel 's lover , "" should "" is Edith Sitwell , and "" could "" is an August Sander subject . And , "" He noticed a large stain in the center of the rug . """
important,f,art,Art16_en.conllu || Art3_en.conllu || Art5_en.conllu,9,0,0,1,8,0.0,0.0,1.0,appreciation,1.0,,,"As someone who spends most of my time alone in a studio working , I had no idea that this kind of connection could be so important , so healing .","And some of the watches there , attempting to be beautiful and humorous -- maybe not attempting , hopefully succeeding . That to be able to talk about content , to break apart what you normally expect , to use humor and surprise , elegance and humanity in your work was really important to us . || It was a very high , it was a very impersonal time in design and we wanted to say , the content is what 's important , not the package , not the wrapping . || Behind the scenes , from the photographer , to the casting director , to the interns , who is making the decisions behind the scenes is just as important . || And this is an important piece of the puzzle that many young designers may not think about when they 're first starting their careers , but hiring a plus - size or a transgender photographer , or a woman of color as your casting director , or a black makeup artist -- hey , Fatima Thomas -- who intimately understands how important it is to be able to work with all skin tones : it 's essential to creating a holistically inclusive output , like this one . || I 've always felt it was important to show a range of different bodies in our runway shows and campaigns ."
true,f,art,Art16_en.conllu || Art1_en.conllu,7,0,1,4,2,0.0,0.2,0.8,appreciation,0.8,,"So now , my friends , if that is true , and it is true , what is the point ? ""","But I am able to make the transition from working for children and -- from working for adults to children , and back and forth , because , you know , I can say that I 'm immature , and in a way , that 's true . || And Rick and I were on our way to a party in the Bronx , and somebody said Bronxistan , and somebody said Ferreristan , and we came up with this New Yorker cover , which we were able to -- we did n't know what we were doin We were n't trying to be funny , we were n't trying to be -- well , we were trying to be funny actually , that 's not true . || So now , my friends , if that is true , and it is true , what is the point ? "" || It means "" I have enough . "" And that is utterly true .","And it 's true that I never saw anyone who looked like me in television or in films , and sure , my family and friends and teachers all constantly warned me that people like me did n't make it in Hollywood . || And in an ironic twist of fate , when I finally did get a role that would make all my dreams come true , it was a role that required me to be exactly who I was ."
dead,f,art,Art16_en.conllu,6,0,5,0,1,0.0,1.0,0.0,judgement,1.0,,"I received a box in the mail and it was wrapped with newspaper and there was the picture of the man on the newspaper and he was dead . || And I say , "" I hope he 's not really dead , just enjoying a refreshing lie - down in the snow , but the caption says he is dead . "" || And actually , he was . I think he 's dead , though I do n't know , maybe he 's not dead .",,"So , shot dead , smacked over the head , you know , thrown away ."
awful,f,art,Art16_en.conllu || Art5_en.conllu,6,1,0,0,5,1.0,0.0,0.0,affect,1.0,"We called this time "" the beautiful awful . """,,,"But , then he came back , and things happened , and I decided I really hated my writing , that it was awful , awful , purple prose . || "" The Impossibility of February "" is that February 's a really wretched month in New York and the images for me conjure up these really awful things . Well , not so awful . || Let 's take the opportunity to find something beautiful in the unknown , in the unpredictable , and even in the awful ."
safe,f,art,Art10_en.conllu || Art4_en.conllu || Art5_en.conllu,5,0,0,1,4,0.0,0.0,1.0,appreciation,1.0,,,I had come to the conclusion that homelessness was safer for me than being at home .,"Our teens take refuge in the transformative elements of the arts , and they depend on the safe space ChopArt provides for them to do that . || In 2017 , Shea and Amber cofounded artist collective The Sister Tour , whose mission is to provide a safe space for Flint artists . || That safe , very , very carefully rendered safe place that I created in all my other paintings , it was a myth ."
wrong,f,art,Art10_en.conllu || Art16_en.conllu || Art1_en.conllu,5,1,2,0,2,0.3333,0.6667,0.0,judgement,0.6667,"And it says , "" Ich habe genug , "" which is a Bach cantata , which I once thought meant "" I 've had it , I ca n't take it anymore , give me a break , "" but I was wrong .","And he was n't wrong . || I mean , I fired him , but he was n't wrong .",,"I , like thousands of other homeless youth , disappeared into the shadows of the city while the whole world kept spinning as if nothing at all had gone terribly wrong . || And so I did , I worked my hardest to overcome all the things that people said were wrong with me ."
