en_form,domain,en_sense,de_aligned_forms,de_aligned_counts,example_en_sentence,example_de_sentence,n_instances,total_en_form_instances_in_domain,pct_of_form_in_domain
able,Art,Affect,"Lage, benutzen, kann, konnte","Lage:1, benutzen:1, kann:1, konnte:1","We 've been able to license The 99 comic books into eight languages so far -- Chinese , Indonesian , Hindi , Urdu , Turkish .","Wir haben die "" 99 "" - Comichefte bisher in acht Sprachen übersetzt : Chinesisch , Indonesisch , Hindi , Urdu , Türkisch .",10,15,0.6667
able,Art,Judgement,,,But it actually was n't until recently that we were able to expand our size range in a major way .,Wir konnten aber erst kürzlich unser Größensortiment erheblich erweitern .,2,15,0.1333
able,Art,Appreciation,"darin, können","darin:1, können:1","Mujiba , from Malaysia : her main power is she 's able to answer any question .","Mujiba aus Malaysia , ihre Kraft besteht darin jede Frage zu beantworten .",3,15,0.2
able,Bus,Affect,Lage,Lage:1,And the more we 're able to be choosy about choosing the better we will be able to practice the art of choosing .,"Und je mehr wir bei dem Auswählen wählerisch sind , desto besser werden wir in der Lage sein , die Kunst der Entscheidung zu üben .",2,6,0.3333
able,Bus,Judgement,,,"That in order for people to understand the differences between the choices , they have to be able to understand the consequences associated with each choice , and that the consequences need to be felt in a vivid sort of way , in a very concrete way .","Es geht dabei darum , dass Menschen , um den Unterschied zwischen Möglichkeiten zu verstehen , verstehen müssen , welche Konsequenzen mit den einzelnen Möglichkeiten assoziiert sind , und das diese Konsequenzen lebhaft und konkret gefühlt werden müssen .",1,6,0.1667
able,Bus,Appreciation,"können, imstande","können:2, imstande:1","So the implications of that are vast , because it means that this is where employment is 1.8 billion people and this is where we can create a more egalitarian world , because people are actually able to earn money and live and thrive , as Andrew Saboru did .","Die Auswirkungen sind enorm , weil das bedeutet , dass hier ein Arbeitsmarkt mit 1,8 Milliarden Menschen besteht und dass wir hier eine harmonisiertere Welt aufbauen können , weil Menschen hier wirklich Geld verdienen und leben und gedeihen können , genauso wie Andrew Saboru .",3,6,0.5
able,Edu,Affect,"ermöglichte, können","ermöglichte:1, können:1",And the key reason we were able to it was not only rising incomes but also a few key breakthroughs : vaccines that were used more widely .,"Der Hauptgrund der uns dies ermöglichte war nicht nur Einkommenssteigerung , sondern auch einige zentrale Durchbrüche : Impfstoffe wurden großräumig und häufiger eingesetzt .",2,6,0.3333
able,Edu,Judgement,fähig,fähig:1,"They found resources like Khan Academy and they were able to fill in those gaps and master those concepts , and that reinforced their mindset that it was n't fixed ; that they actually were capable of learning mathematics .","Sie fanden Hilfe , z. B. bei Khan Academy . So füllten sie diese Lücken und beherrschten danach diese Konzepte . Das stärkte ihre Einstellung , es sei nicht vorbestimmt ; sie seien tatsächlich fähig , Mathematik zu lernen .",1,6,0.1667
able,Edu,Appreciation,in Lage,in Lage:1,"He taught mechanics in a high school in Long Beach , and found that his students were no longer able to solve problems .","Er hat in einer Schule in Long Beach Werken unterrichtet , und entdeckt , dass seine Schüler nicht mehr in der Lage waren , Probleme zu lösen .",3,6,0.5
able,Ent,Affect,"können, geschafft","können:3, geschafft:1",These are the kind of molecular programs we want to be able to write .,"Das sind die Arten von molekularen Programmen , die wir schreiben können wollen .",5,7,0.7143
able,Ent,Judgement,,,"It 's not there yet , but in a couple years , there will be so many systems and tools for them to just make a living online , and if they 've got a podcast that 's starting to take off , but they 're not able to make money on it yet , that 's happening and they 're going to be paid .","Es ist noch nicht fertig , aber in einigen Jahren wird es für sie viele Systeme und Tools geben , um online genug Geld zu verdienen . Wenn sie einen erfolgreichen Podcast haben und noch kein Geld damit verdienen , wird es passieren und sie werden dafür bezahlt werden .",1,7,0.1429
able,Ent,Appreciation,schlussendlich,schlussendlich:1,"On the upside , the man that I worshipped as a child , the man that I wanted to become as an adult , I was finally able to get his autograph .","Das Tolle daran war , dass der Mann , den ich als Kind so bewunderte und der ich als Erwachsener so gerne werden wollte , mir schlussendlich sein Autogramm gab .",1,7,0.1429
able,His,Affect,"in Lage, lernen","in Lage:1, lernen:1","And because of the fact that I realized that I was able to learn things visually that I could n't learn in other ways , this became my strategy , this became my tactic for understanding everything else .","Weil ich jetzt die Sachen bildlich lernen konnte , dass ich anders lernen konnte , wurde das meine Strategie , meine Taktik auch alles andere zu verstehen .",3,7,0.4286
able,His,Judgement,,,"With stalwart audiences like this , the Peerzadas were able to conclude their festival on schedule .",Mit einem solch standhaften Publikum konnten die Peerzadas ihr Festival wie geplant abschließen .,2,7,0.2857
able,His,Appreciation,"Lage, können","Lage:1, können:1","And on the back are some other devices , measuring tools and scales , to be able to make some calculations .","Und auf der Rückseite sind einige andere Spielereien , Messwerkzeuge , und Skalen , um einige Kalkulationen machen zu können .",2,7,0.2857
able,Med,Affect,"können, Lage, ermöglichte, fähig, gefunden, glücklich, konnten","können:2, Lage:1, ermöglichte:1, fähig:1, gefunden:1, glücklich:1, konnten:1","One professor said , "" Maybe I might be able to help you , kid . ""","Ein Professor sagte : "" Vielleicht kann ich dir helfen , Junge . """,16,22,0.7273
able,Med,Judgement,"Lage, konnten","Lage:3, konnten:1","And he knew her , he would have been able to furnish additional information about her .","Und er kannte sie , er wäre in der Lage gewesen zusätzliche Informationen zu ihr beizusteuern .",4,22,0.1818
able,Med,Appreciation,Lage,Lage:2,"Now , a superorganism is a collection of individuals which show or evince behaviors or phenomena that are not reducible to the study of individuals and that must be understood by reference to , and by studying , the collective . Like , for example , a hive of bees that 's finding a new nesting site , or a flock of birds that 's evading a predator , or a flock of birds that 's able to pool its wisdom and navigate and find a tiny speck of an island in the middle of the Pacific , or a pack of wolves that 's able to bring down larger prey .","Nun , ein Superorganismus ist eine Art Ansammlung von Individuen , welche Verhaltensweisen oder Phänomene zeigen oder bekunden , die nicht auf Untersuchungen von Individuen reduzierbar sind , und die in bezug auf und durch Untersuchungen des Kollektivs verstanden werden müssen , wie zu dem Beispiel ein Bienenstock , der eine neue Niststätte findet , oder ein Vogelschwarm , der einem Raubtier ausweicht , oder ein Vogelschwarm , der in der Lage ist , seine Weisheiten zu vereinen , und der navigiert und einen kleinen Fleck auf einer Insel inmitten des Pazifiks findet , oder ein Rudel Wölfe , das in der Lage ist , eine größere Beute zu erledigen .",2,22,0.0909
able,Phi,Affect,können,können:1,"For the first time in the history of this planet , we are able to directly design organisms .","Zu dem ersten Mal in der Geschichte unseres Planeten , können wir ohne Umwege Organismen entwickeln .",3,9,0.3333
able,Phi,Judgement,"Lage, benutzen","Lage:1, benutzen:1","Tell us , Charlie , why would you say he should be able to use a golf cart ?","Sagen Sie uns , Charlie , warum sagen Sie , er sollte den Golfwagen benutzen ?",2,9,0.2222
able,Phi,Appreciation,"isolieren, können","isolieren:1, können:1","One blueprint for trouble , making collapse likely , is where there is a conflict of interest between the short - term interest of the decision - making elites and the long - term interest of the society as a whole , especially if the elites are able to insulate themselves from the consequences of their actions .","Ein Rezept für Probleme , die den Kollaps wahrscheinlich machen , ist , wenn ein Interessenkonflikt besteht zwischen kurzfristigen Interessen der Entscheidungsträger und den langfristigen Interessen der Gesellschaft als Ganzes , besonders wenn die Eliten sich von den Konsequenzen ihrer Handlungen isolieren können .",4,9,0.4444
able,Pol,Affect,"durchgesetzt, ernähren, geschafft, konnten, können","durchgesetzt:1, ernähren:1, geschafft:1, konnten:1, können:1","That is , we 're able to save it from a fate of deep - sea bottom trawling .","Wir haben es geschafft , ihn vor der Vernichtung durch Schleppnetzfischerei zu retten .",6,12,0.5
able,Pol,Judgement,möglich,möglich:1,"You can invite people in , but they have to be able to play by the rules .","Man kann Andere einladen , aber sie müssen sich an die Regeln halten .",2,12,0.1667
able,Pol,Appreciation,",, Möglichkeit, der",",:1, Möglichkeit:1, der:1","Instead , they just make me green with envy that my colleague from IUCN was able to go on this journey to the south of Madagascar seamounts to actually take photographs and to see these wondrous creatures of the deep .","Ich dagegen beneide meinen Kollegen von der IUCN , der diese Reise zu dem Süden der Seamounts von Madagascar machen konnte um dort selbst zu fotografieren und diese wunderlichen Wesen der Tiefe zu sehen .",4,12,0.3333
