file,Domain,sent_index,token_id,token_form,token_lemma,sense,sentence,de_aligned_forms,de_aligned_lemmas,de_sentence
Art10_en.conllu,Art,7,10,safer,safe,Appreciation,I had come to the conclusion that homelessness was safer for me than being at home .,sicherer,sicher,"Ich beschloss , dass kein Zuhause sicherer war als meins ."
Art10_en.conllu,Art,9,14,uncared,uncared,Affect,"During my homelessness , I joined Atlanta 's 3,300 homeless youth in feeling uncared for , left out and invisible each night .",unerwünscht überflüssig unsichtbar,unerwünscht überflüssig unsichtbar,"Damals gehörte ich zu Atlantas 3 300 obdachlosen Jugendlichen , die sich unerwünscht fühlten , jede Nacht überflüssig und unsichtbar ."
Art10_en.conllu,Art,31,27,proof,proof,Judgement,"Kelly calling Erin in her lowest moment , knowing that Erin would do whatever she could to make them feel loved and cared for , is proof to me that by using the arts as the entry point , we can heal and build our homeless youth population .",Beweis,beweis,"Kelly , die Erin in ihren Tiefpunkt anruft , wissend , dass Erin tun würde , was sie könne , um ihnen das Gefühl zu geben , geliebt und umsorgt zu sein , ist Beweis für mich , dass wir mit der Kunst als Ausgangspunkt die obdachlose , jugendliche Bevölkerung heilen und aufbauen können ."
Art10_en.conllu,Art,35,30,heavy,heavy,Appreciation,"We build with Liz , who has been on the streets most of her teenage years but turns to music to return to herself when her traumas feel too heavy for her young shoulders .",schwer,schwer,"Wir bauen auf mit Liz , die bereits einen Großteil ihrer Jugend auf der Straße gelebt hat , aber sich der Musik zuwendet , um zu sich zu finden , wenn ihr Trauma zu schwer für ihre jungen Schultern wird ."
Art11_en.conllu,Art,4,27,addicted,addicted,Appreciation,"When I was a kid , I loved to draw , and the most talented artist I knew was my mother , but my mother was addicted to heroin .",Künstlerin,künstlerin,"Als ich ein Kind war , liebte ich das Zeichnen , und die talentierteste Künstlerin , die ich kannte , war meine Mutter ."
Art11_en.conllu,Art,10,11,easy,easy,Appreciation,And I would like to say that life was totally easy with them .,einfach,einfach,"Ich würde gerne sagen , dass das Leben mit ihnen total einfach war ."
Art11_en.conllu,Art,29,45,angry,angry,Judgement,"We had to write our own Greek myth , our own creation story , so I wrote a story about an owl who challenged Hermes to a flying race , and the owl cheated , and Hermes , being a Greek god , grew angry and bitter , and turned the owl into a moon , so the owl had to live the rest of his life as a moon while he watched his family and friends play at night .",wütend,wütend,"Wir mussten unsere eigene griechische Sage schreiben , unsere eigene Schöpfungsgeschichte , also schrieb ich eine Geschichte über eine Eule die Hermes zu einem Flugrennen herausforderte , und die Eule schummelte , und Hermes , als griechischer Gott , wurde wütend und verbittert , und verwandelte die Eule in einen Mond , so musste die Eule den Rest ihres Lebens als Mond verbringen während sie ihrer Familie und ihren Freunden nachts bei dem Spielen zuschaute ."
Art11_en.conllu,Art,32,4,worried,worried,Affect,I was clearly worried about my intellectual property when I was eight .,offensichtlich,offensichtlich,Ich sorgte mich mit 8 offensichtlich um mein intellektuelles Eigentum .
Art11_en.conllu,Art,39,14,scared,scared,Affect,"Writing is using your imagination on paper , and I do get so scared because I travel to so many schools now and that seems like such a foreign concept to kids , that writing would be using your imagination on paper , if they 're allowed to even write now within the school hours .",bekomme Angst,bekommen angst,"Bei dem Schreiben bringt man seine Fantasie zu Papier , und manchmal bekomme ich Angst , denn jetzt ich reise zu so vielen Schulen und das scheint für Kinder etwas Fremdes zu sein , bei dem Schreiben seine Fantasie zu Papier zu bringen , wenn sie überhaupt in der Schulzeit schreiben dürfen ."
Art11_en.conllu,Art,49,5,thrilled,thrilled,Affect,And I was so thrilled .,Freude,freude,Ich war außer mir vor Freude .
