discipline,POS,count,proportion
art,ADJ,2164,0.1307079004590481
art,ADV,2168,0.13094950471128292
art,NOUN,5989,0.3617419666586132
art,PROPN,1409,0.08510509784972216
art,VERB,4826,0.29149553032133363
bus,ADJ,2353,0.14880161892114083
bus,ADV,1999,0.1264149750205527
bus,NOUN,6255,0.3955606146841207
bus,PROPN,865,0.05470182761019415
bus,VERB,4341,0.27452096376399165
edu,ADJ,2555,0.1494064674580434
edu,ADV,2143,0.1253143091047307
edu,NOUN,6911,0.40412841354306767
edu,PROPN,886,0.05180983568212385
edu,VERB,4606,0.2693409742120344
ent,ADJ,1939,0.13892670344629934
ent,ADV,2104,0.15074872823672708
ent,NOUN,5187,0.3716414702299921
ent,PROPN,621,0.04449380239306441
ent,VERB,4106,0.29418929569391705
his,ADJ,2000,0.14188422247446084
his,ADV,1791,0.12705732122587968
his,NOUN,5451,0.386705448354143
his,PROPN,1130,0.08016458569807038
his,VERB,3724,0.2641884222474461
med,ADJ,2767,0.14183924543776913
med,ADV,2840,0.1455812999794956
med,NOUN,7898,0.40485954480213243
med,PROPN,642,0.03290957555874513
med,VERB,5361,0.2748103342218577
phi,ADJ,3240,0.16776264692176254
phi,ADV,2412,0.124889970486201
phi,NOUN,7741,0.40081810179671723
phi,PROPN,858,0.04442603427742971
phi,VERB,5062,0.2621032465178895
pol,ADJ,2955,0.14482454420701824
pol,ADV,2496,0.1223289551068418
pol,NOUN,8099,0.396931974122721
pol,PROPN,1280,0.0627327974906881
pol,VERB,5574,0.27318172907273086
psy,ADJ,2848,0.1531347456715776
psy,ADV,2701,0.1452306699645123
psy,NOUN,7193,0.38676201742122807
psy,PROPN,477,0.025647919131089363
psy,VERB,5379,0.28922464781159263
sci,ADJ,3415,0.1366765388617626
sci,ADV,3668,0.14680220923717283
sci,NOUN,10271,0.4110701993116145
sci,PROPN,1052,0.042103578003682064
sci,VERB,6580,0.263347474585768
tech,ADJ,2808,0.1401407396316814
tech,ADV,2689,0.13420172680540998
tech,NOUN,8134,0.4059489943604332
tech,PROPN,817,0.04077456705095573
tech,VERB,5589,0.2789339721515197
