discipline,POS,count,proportion
art,ADJ,2045,0.13464577297866737
art,ADV,2294,0.15104029496971294
art,NOUN,5414,0.3564656307611272
art,PROPN,1411,0.09290229128259152
art,VERB,4024,0.26494601000790097
bus,ADJ,2244,0.15702190189629836
bus,ADV,2035,0.14239731299419214
bus,NOUN,5505,0.38520747323490306
bus,PROPN,922,0.06451612903225806
bus,VERB,3585,0.2508571828423483
edu,ADJ,2423,0.15965998945703744
edu,ADV,2082,0.1371903004744333
edu,NOUN,6093,0.4014891934633632
edu,PROPN,851,0.05607538218239325
edu,VERB,3727,0.2455851344227728
ent,ADJ,1962,0.14954268292682926
ent,ADV,2300,0.17530487804878048
ent,NOUN,4682,0.356859756097561
ent,PROPN,685,0.052210365853658534
ent,VERB,3491,0.2660823170731707
his,ADJ,1910,0.14863813229571984
his,ADV,1740,0.13540856031128404
his,NOUN,4969,0.3866926070038911
his,PROPN,1072,0.08342412451361868
his,VERB,3159,0.24583657587548638
med,ADJ,2868,0.1590153027278776
med,ADV,2948,0.16345087602572633
med,NOUN,6978,0.38689288090485696
med,PROPN,693,0.03842315369261477
med,VERB,4549,0.25221778664892436
phi,ADJ,3076,0.17004809552766875
phi,ADV,2596,0.14351263198629002
phi,NOUN,7213,0.3987506219249268
phi,PROPN,795,0.04394936149040853
phi,VERB,4409,0.24373928907070597
pol,ADJ,2799,0.1509464487946934
pol,ADV,2461,0.1327185460820795
pol,NOUN,7328,0.3951895594024699
pol,PROPN,1341,0.07231839508170199
pol,VERB,4614,0.24882705063905516
psy,ADJ,2759,0.16445133218096203
psy,ADV,2572,0.15330512010490552
psy,NOUN,6414,0.382309113667521
psy,PROPN,539,0.03212731716039816
psy,VERB,4493,0.2678071168862133
sci,ADJ,3387,0.14970165745856354
sci,ADV,3597,0.15898342541436464
sci,NOUN,8967,0.3963314917127072
sci,PROPN,1144,0.05056353591160221
sci,VERB,5530,0.24441988950276244
tech,ADJ,2814,0.1586871933682964
tech,ADV,2532,0.14278463880900016
tech,NOUN,7037,0.3968307674956296
tech,PROPN,931,0.052500986860655276
tech,VERB,4419,0.24919641346641855
