discipline,num_files,total_tokens,total_sentences,total_adjectives,avg_tokens_per_file,avg_sentences_per_file,avg_tokens_per_sentence,adj_per_token
Transcripts_Art,10,25056,1861,1371,2505.6,186.1,13.463729177861365,0.05471743295019157
Transcripts_Business,10,24239,1772,1375,2423.9,177.2,13.678893905191874,0.05672676265522505
Transcripts_Education,10,26686,1835,1402,2668.6,183.5,14.542779291553133,0.052536910739713706
Transcripts_Entertainment,10,27009,2076,1502,2700.9,207.6,13.010115606936417,0.05561109259876337
Transcripts_History,10,26288,1929,1307,2628.8,192.9,13.627786417833073,0.04971850273889227
Transcripts_Medicine,10,24114,1525,1596,2411.4,152.5,15.812459016393442,0.06618561831301319
Transcripts_Philosophy,10,22753,1828,1220,2275.3,182.8,12.446936542669585,0.05361930294906166
Transcripts_Politics and Law,10,23011,1683,1445,2301.1,168.3,13.67260843731432,0.06279605406110121
Transcripts_Psychology,10,23597,1829,1349,2359.7,182.9,12.901585565882996,0.05716828410391151
Transcripts_Science,10,23079,1573,1417,2307.9,157.3,14.671964399237126,0.061397807530655574
Transcripts_Technology,10,26534,1786,1397,2653.4,178.6,14.85666293393057,0.052649430918821134
