discipline,adjective,count
Transcripts_Art,gut,74
Transcripts_Art,groß,34
Transcripts_Art,ganz,33
Transcripts_Art,schön,33
Transcripts_Art,erst,29
Transcripts_Art,natürlich,29
Transcripts_Art,klein,26
Transcripts_Art,wichtig,23
Transcripts_Art,schwer,20
Transcripts_Art,möglich,19
Transcripts_Art,kurz,19
Transcripts_Art,nah,17
Transcripts_Art,okay,16
Transcripts_Art,wahrscheinlich,14
Transcripts_Art,einfach,14
Transcripts_Art,neu,13
Transcripts_Art,alt,13
Transcripts_Art,richtig,13
Transcripts_Art,voll,12
Transcripts_Art,weit,12
