discipline,adjective,count
Transcripts_Business,gut,77
Transcripts_Business,ganz,30
Transcripts_Business,tatsächlich,30
Transcripts_Business,groß,27
Transcripts_Business,wichtig,23
Transcripts_Business,klein,23
Transcripts_Business,natürlich,19
Transcripts_Business,erst,16
Transcripts_Business,erfolgreich,16
Transcripts_Business,gemeinsam,15
Transcripts_Business,nachhaltig,15
Transcripts_Business,schön,15
Transcripts_Business,super,15
Transcripts_Business,neu,15
Transcripts_Business,richtig,14
Transcripts_Business,direkt,14
Transcripts_Business,schnell,14
Transcripts_Business,echt,13
Transcripts_Business,genau,13
Transcripts_Business,klar,13
