discipline,adjective,count
Transcripts_Education,gut,73
Transcripts_Education,groß,34
Transcripts_Education,wichtig,30
Transcripts_Education,jung,29
Transcripts_Education,natürlich,26
Transcripts_Education,klein,23
Transcripts_Education,digital,19
Transcripts_Education,tatsächlich,19
Transcripts_Education,erst,15
Transcripts_Education,spät,15
Transcripts_Education,einfach,15
Transcripts_Education,paar,15
Transcripts_Education,schön,14
Transcripts_Education,leicht,13
Transcripts_Education,ganz,13
Transcripts_Education,nah,13
Transcripts_Education,kritisch,13
Transcripts_Education,unglaublich,12
Transcripts_Education,sogenannt,12
Transcripts_Education,richtig,12
