discipline,adjective,count
Transcripts_Entertainment,gut,69
Transcripts_Entertainment,natürlich,52
Transcripts_Entertainment,erst,43
Transcripts_Entertainment,okay,31
Transcripts_Entertainment,ganz,26
Transcripts_Entertainment,komplett,24
Transcripts_Entertainment,groß,24
Transcripts_Entertainment,nah,23
Transcripts_Entertainment,neu,22
Transcripts_Entertainment,wichtig,21
Transcripts_Entertainment,echt,20
Transcripts_Entertainment,sozial,17
Transcripts_Entertainment,genau,16
Transcripts_Entertainment,schnell,16
Transcripts_Entertainment,weit,14
Transcripts_Entertainment,super,14
Transcripts_Entertainment,einfach,14
Transcripts_Entertainment,tatsächlich,14
Transcripts_Entertainment,kurz,13
Transcripts_Entertainment,toll,13
