discipline,adjective,count
Transcripts_History,gut,42
Transcripts_History,ganz,38
Transcripts_History,erst,29
Transcripts_History,natürlich,24
Transcripts_History,groß,23
Transcripts_History,alt,19
Transcripts_History,klein,18
Transcripts_History,wichtig,17
Transcripts_History,richtig,16
Transcripts_History,toll,15
Transcripts_History,einfach,14
Transcripts_History,schön,14
Transcripts_History,eigen,13
Transcripts_History,zweit,13
Transcripts_History,neu,13
Transcripts_History,letzt,12
Transcripts_History,relativ,12
Transcripts_History,schwarz,12
Transcripts_History,hoch,11
Transcripts_History,total,11
