discipline,adjective,count
Transcripts_Medicine,gut,76
Transcripts_Medicine,selten,42
Transcripts_Medicine,groß,41
Transcripts_Medicine,tatsächlich,34
Transcripts_Medicine,schnell,30
Transcripts_Medicine,erst,29
Transcripts_Medicine,klein,26
Transcripts_Medicine,ganz,24
Transcripts_Medicine,neu,23
Transcripts_Medicine,natürlich,22
Transcripts_Medicine,wichtig,21
Transcripts_Medicine,letzt,17
Transcripts_Medicine,kurz,15
Transcripts_Medicine,richtig,15
Transcripts_Medicine,lang,15
Transcripts_Medicine,schwarz,15
Transcripts_Medicine,eigen,14
Transcripts_Medicine,nah,14
Transcripts_Medicine,häufig,14
Transcripts_Medicine,weit,13
