discipline,adjective,count
Transcripts_Philosophy,gut,53
Transcripts_Philosophy,schön,40
Transcripts_Philosophy,richtig,32
Transcripts_Philosophy,groß,29
Transcripts_Philosophy,wichtig,21
Transcripts_Philosophy,neu,19
Transcripts_Philosophy,erst,19
Transcripts_Philosophy,unterschiedlich,19
Transcripts_Philosophy,klein,18
Transcripts_Philosophy,falsch,17
Transcripts_Philosophy,erfolgreich,14
Transcripts_Philosophy,ganz,13
Transcripts_Philosophy,kurz,12
Transcripts_Philosophy,schnell,12
Transcripts_Philosophy,glücklich,11
Transcripts_Philosophy,natürlich,11
Transcripts_Philosophy,okay,11
Transcripts_Philosophy,spät,11
Transcripts_Philosophy,zweit,11
Transcripts_Philosophy,eigen,10
