discipline,adjective,count
Transcripts_Politics and Law,digital,43
Transcripts_Politics and Law,gut,39
Transcripts_Politics and Law,ganz,35
Transcripts_Politics and Law,groß,26
Transcripts_Politics and Law,gemeinsam,25
Transcripts_Politics and Law,politisch,24
Transcripts_Politics and Law,neu,21
Transcripts_Politics and Law,wichtig,21
Transcripts_Politics and Law,schnell,21
Transcripts_Politics and Law,sozial,19
Transcripts_Politics and Law,klein,19
Transcripts_Politics and Law,exponentiell,19
Transcripts_Politics and Law,demokratisch,17
Transcripts_Politics and Law,erst,17
Transcripts_Politics and Law,natürlich,17
Transcripts_Politics and Law,letzt,16
Transcripts_Politics and Law,einfach,15
Transcripts_Politics and Law,hoch,15
Transcripts_Politics and Law,stark,14
Transcripts_Politics and Law,eigen,14
