discipline,adjective,count
Transcripts_Psychology,gut,61
Transcripts_Psychology,ganz,33
Transcripts_Psychology,erst,30
Transcripts_Psychology,psychologisch,29
Transcripts_Psychology,super,25
Transcripts_Psychology,richtig,24
Transcripts_Psychology,okay,22
Transcripts_Psychology,neu,21
Transcripts_Psychology,klein,20
Transcripts_Psychology,kurz,20
Transcripts_Psychology,groß,19
Transcripts_Psychology,wichtig,18
Transcripts_Psychology,lang,17
Transcripts_Psychology,hoch,16
Transcripts_Psychology,schnell,15
Transcripts_Psychology,einfach,14
Transcripts_Psychology,natürlich,13
Transcripts_Psychology,ehrlich,13
Transcripts_Psychology,genau,13
Transcripts_Psychology,krank,12
