discipline,adjective,count
Transcripts_Science,gut,39
Transcripts_Science,groß,35
Transcripts_Science,ganz,32
Transcripts_Science,weit,32
Transcripts_Science,erst,29
Transcripts_Science,neu,26
Transcripts_Science,paar,19
Transcripts_Science,tatsächlich,18
Transcripts_Science,klassisch,18
Transcripts_Science,richtig,17
Transcripts_Science,klein,17
Transcripts_Science,natürlich,15
Transcripts_Science,wichtig,15
Transcripts_Science,nachhaltig,14
Transcripts_Science,genau,14
Transcripts_Science,einfach,14
Transcripts_Science,verschieden,14
Transcripts_Science,eigen,14
Transcripts_Science,schuld,13
Transcripts_Science,schnell,13
