discipline,adjective,count
Transcripts_Art,gut,74
Transcripts_Art,groß,34
Transcripts_Art,ganz,33
Transcripts_Art,schön,33
Transcripts_Art,erst,29
Transcripts_Art,natürlich,29
Transcripts_Art,klein,26
Transcripts_Art,wichtig,23
Transcripts_Art,schwer,20
Transcripts_Art,möglich,19
Transcripts_Art,kurz,19
Transcripts_Art,nah,17
Transcripts_Art,okay,16
Transcripts_Art,wahrscheinlich,14
Transcripts_Art,einfach,14
Transcripts_Art,neu,13
Transcripts_Art,alt,13
Transcripts_Art,richtig,13
Transcripts_Art,voll,12
Transcripts_Art,weit,12
Transcripts_Business,gut,77
Transcripts_Business,ganz,30
Transcripts_Business,tatsächlich,30
Transcripts_Business,groß,27
Transcripts_Business,wichtig,23
Transcripts_Business,klein,23
Transcripts_Business,natürlich,19
Transcripts_Business,erst,16
Transcripts_Business,erfolgreich,16
Transcripts_Business,gemeinsam,15
Transcripts_Business,nachhaltig,15
Transcripts_Business,schön,15
Transcripts_Business,super,15
Transcripts_Business,neu,15
Transcripts_Business,richtig,14
Transcripts_Business,direkt,14
Transcripts_Business,schnell,14
Transcripts_Business,echt,13
Transcripts_Business,genau,13
Transcripts_Business,klar,13
Transcripts_Education,gut,73
Transcripts_Education,groß,34
Transcripts_Education,wichtig,30
Transcripts_Education,jung,29
Transcripts_Education,natürlich,26
Transcripts_Education,klein,23
Transcripts_Education,digital,19
Transcripts_Education,tatsächlich,19
Transcripts_Education,erst,15
Transcripts_Education,spät,15
Transcripts_Education,einfach,15
Transcripts_Education,paar,15
Transcripts_Education,schön,14
Transcripts_Education,leicht,13
Transcripts_Education,ganz,13
Transcripts_Education,nah,13
Transcripts_Education,kritisch,13
Transcripts_Education,unglaublich,12
Transcripts_Education,sogenannt,12
Transcripts_Education,richtig,12
Transcripts_Entertainment,gut,69
Transcripts_Entertainment,natürlich,52
Transcripts_Entertainment,erst,43
Transcripts_Entertainment,okay,31
Transcripts_Entertainment,ganz,26
Transcripts_Entertainment,komplett,24
Transcripts_Entertainment,groß,24
Transcripts_Entertainment,nah,23
Transcripts_Entertainment,neu,22
Transcripts_Entertainment,wichtig,21
Transcripts_Entertainment,echt,20
Transcripts_Entertainment,sozial,17
Transcripts_Entertainment,genau,16
Transcripts_Entertainment,schnell,16
Transcripts_Entertainment,weit,14
Transcripts_Entertainment,super,14
Transcripts_Entertainment,einfach,14
Transcripts_Entertainment,tatsächlich,14
Transcripts_Entertainment,kurz,13
Transcripts_Entertainment,toll,13
Transcripts_History,gut,42
Transcripts_History,ganz,38
Transcripts_History,erst,29
Transcripts_History,natürlich,24
Transcripts_History,groß,23
Transcripts_History,alt,19
Transcripts_History,klein,18
Transcripts_History,wichtig,17
Transcripts_History,richtig,16
Transcripts_History,toll,15
