discipline,word,count
Transcripts_Education,auch,228
Transcripts_Education,so,196
Transcripts_Education,haben,169
Transcripts_Education,dann,163
Transcripts_Education,machen,120
Transcripts_Education,da,111
Transcripts_Education,gehen,107
Transcripts_Education,sagen,105
Transcripts_Education,also,99
Transcripts_Education,mal,94
Transcripts_Education,lernen,93
Transcripts_Education,noch,93
Transcripts_Education,jetzt,91
Transcripts_Education,schule,88
Transcripts_Education,geben,81
Transcripts_Education,sehr,79
Transcripts_Education,wissen,78
Transcripts_Education,ganz,76
Transcripts_Education,gut,73
Transcripts_Education,thema,67
