discipline,word,count
Transcripts_Entertainment,auch,206
Transcripts_Entertainment,so,199
Transcripts_Entertainment,dann,191
Transcripts_Entertainment,haben,164
Transcripts_Entertainment,machen,164
Transcripts_Entertainment,jetzt,120
Transcripts_Entertainment,also,114
Transcripts_Entertainment,da,110
Transcripts_Entertainment,sagen,105
Transcripts_Entertainment,mal,103
Transcripts_Entertainment,geben,99
Transcripts_Entertainment,ja,99
Transcripts_Entertainment,ganz,96
Transcripts_Entertainment,schon,73
Transcripts_Entertainment,nur,73
Transcripts_Entertainment,noch,73
Transcripts_Entertainment,gut,73
Transcripts_Entertainment,gehen,72
Transcripts_Entertainment,kommen,70
Transcripts_Entertainment,einfach,68
