discipline,word,count
Transcripts_History,auch,211
Transcripts_History,so,195
Transcripts_History,dann,173
Transcripts_History,da,159
Transcripts_History,haben,141
Transcripts_History,sagen,135
Transcripts_History,noch,101
Transcripts_History,also,96
Transcripts_History,mal,88
Transcripts_History,ja,85
Transcripts_History,hier,85
Transcripts_History,ganz,83
Transcripts_History,sehen,82
Transcripts_History,machen,79
Transcripts_History,sein,70
Transcripts_History,gehen,67
Transcripts_History,mensch,66
Transcripts_History,nur,65
Transcripts_History,wissen,61
Transcripts_History,geben,61
