discipline,word,count
Transcripts_Medicine,auch,183
Transcripts_Medicine,so,157
Transcripts_Medicine,haben,142
Transcripts_Medicine,dann,92
Transcripts_Medicine,nur,80
Transcripts_Medicine,gut,77
Transcripts_Medicine,ganz,72
Transcripts_Medicine,sagen,70
Transcripts_Medicine,jahr,69
Transcripts_Medicine,noch,67
Transcripts_Medicine,hier,66
Transcripts_Medicine,jetzt,65
Transcripts_Medicine,machen,65
Transcripts_Medicine,sehr,65
Transcripts_Medicine,gehen,64
Transcripts_Medicine,erkrankung,55
Transcripts_Medicine,patient,54
Transcripts_Medicine,geben,54
Transcripts_Medicine,da,53
Transcripts_Medicine,also,50
