discipline,word,count
Transcripts_Politics and Law,auch,190
Transcripts_Politics and Law,so,138
Transcripts_Politics and Law,haben,124
Transcripts_Politics and Law,mensch,104
Transcripts_Politics and Law,dann,94
Transcripts_Politics and Law,jetzt,86
Transcripts_Politics and Law,ganz,79
Transcripts_Politics and Law,hier,76
Transcripts_Politics and Law,sagen,75
Transcripts_Politics and Law,ja,73
Transcripts_Politics and Law,machen,71
Transcripts_Politics and Law,geben,69
Transcripts_Politics and Law,jahr,67
Transcripts_Politics and Law,noch,67
Transcripts_Politics and Law,mal,64
Transcripts_Politics and Law,nur,61
Transcripts_Politics and Law,gehen,60
Transcripts_Politics and Law,immer,60
Transcripts_Politics and Law,schon,59
Transcripts_Politics and Law,demokratie,54
