discipline,word,count
Transcripts_Technology,auch,215
Transcripts_Technology,so,188
Transcripts_Technology,haben,173
Transcripts_Technology,dann,167
Transcripts_Technology,machen,120
Transcripts_Technology,da,117
Transcripts_Technology,jetzt,116
Transcripts_Technology,mensch,103
Transcripts_Technology,ganz,99
Transcripts_Technology,gehen,96
Transcripts_Technology,geben,90
Transcripts_Technology,wie,88
Transcripts_Technology,hier,78
Transcripts_Technology,sagen,77
Transcripts_Technology,ja,77
Transcripts_Technology,immer,76
Transcripts_Technology,eigentlich,74
Transcripts_Technology,also,74
Transcripts_Technology,schon,73
Transcripts_Technology,wo,72
