discipline,word,count
Transcripts_Art,so,192
Transcripts_Art,auch,179
Transcripts_Art,haben,150
Transcripts_Art,dann,137
Transcripts_Art,da,112
Transcripts_Art,sagen,105
Transcripts_Art,machen,104
Transcripts_Art,mal,99
Transcripts_Art,ja,93
Transcripts_Art,jetzt,91
Transcripts_Art,noch,89
Transcripts_Art,ganz,80
Transcripts_Art,nur,79
Transcripts_Art,gut,79
Transcripts_Art,hier,79
Transcripts_Art,immer,73
Transcripts_Art,gehen,66
Transcripts_Art,leute,65
Transcripts_Art,geben,60
Transcripts_Art,sehr,59
Transcripts_Business,haben,172
Transcripts_Business,auch,171
Transcripts_Business,so,156
Transcripts_Business,dann,149
Transcripts_Business,machen,121
Transcripts_Business,unternehmen,119
Transcripts_Business,sagen,95
Transcripts_Business,da,88
Transcripts_Business,gut,78
Transcripts_Business,also,76
Transcripts_Business,ganz,74
Transcripts_Business,mensch,73
Transcripts_Business,noch,72
Transcripts_Business,gehen,70
Transcripts_Business,mal,70
Transcripts_Business,ja,70
Transcripts_Business,jetzt,69
Transcripts_Business,nur,68
Transcripts_Business,geben,68
Transcripts_Business,werden,64
Transcripts_Education,auch,228
Transcripts_Education,so,196
Transcripts_Education,haben,169
Transcripts_Education,dann,163
Transcripts_Education,machen,120
Transcripts_Education,da,111
Transcripts_Education,gehen,107
Transcripts_Education,sagen,105
Transcripts_Education,also,99
Transcripts_Education,mal,94
Transcripts_Education,lernen,93
Transcripts_Education,noch,93
Transcripts_Education,jetzt,91
Transcripts_Education,schule,88
Transcripts_Education,geben,81
Transcripts_Education,sehr,79
Transcripts_Education,wissen,78
Transcripts_Education,ganz,76
Transcripts_Education,gut,73
Transcripts_Education,thema,67
Transcripts_Entertainment,auch,206
Transcripts_Entertainment,so,199
Transcripts_Entertainment,dann,191
Transcripts_Entertainment,haben,164
Transcripts_Entertainment,machen,164
Transcripts_Entertainment,jetzt,120
Transcripts_Entertainment,also,114
Transcripts_Entertainment,da,110
Transcripts_Entertainment,sagen,105
Transcripts_Entertainment,mal,103
Transcripts_Entertainment,geben,99
Transcripts_Entertainment,ja,99
Transcripts_Entertainment,ganz,96
Transcripts_Entertainment,schon,73
Transcripts_Entertainment,nur,73
Transcripts_Entertainment,noch,73
Transcripts_Entertainment,gut,73
Transcripts_Entertainment,gehen,72
Transcripts_Entertainment,kommen,70
Transcripts_Entertainment,einfach,68
Transcripts_History,auch,211
Transcripts_History,so,195
Transcripts_History,dann,173
Transcripts_History,da,159
Transcripts_History,haben,141
Transcripts_History,sagen,135
Transcripts_History,noch,101
Transcripts_History,also,96
Transcripts_History,mal,88
Transcripts_History,ja,85
Transcripts_History,hier,85
Transcripts_History,ganz,83
Transcripts_History,sehen,82
Transcripts_History,machen,79
Transcripts_History,sein,70
Transcripts_History,gehen,67
Transcripts_History,mensch,66
Transcripts_History,nur,65
Transcripts_History,wissen,61
Transcripts_History,geben,61
Transcripts_Medicine,auch,183
Transcripts_Medicine,so,157
Transcripts_Medicine,haben,142
Transcripts_Medicine,dann,92
Transcripts_Medicine,nur,80
Transcripts_Medicine,gut,77
Transcripts_Medicine,ganz,72
Transcripts_Medicine,sagen,70
Transcripts_Medicine,jahr,69
Transcripts_Medicine,noch,67
Transcripts_Medicine,hier,66
Transcripts_Medicine,jetzt,65
Transcripts_Medicine,machen,65
Transcripts_Medicine,sehr,65
Transcripts_Medicine,gehen,64
Transcripts_Medicine,erkrankung,55
Transcripts_Medicine,patient,54
Transcripts_Medicine,geben,54
Transcripts_Medicine,da,53
Transcripts_Medicine,also,50
Transcripts_Philosophy,so,177
Transcripts_Philosophy,auch,150
Transcripts_Philosophy,haben,143
Transcripts_Philosophy,sagen,104
Transcripts_Philosophy,machen,102
Transcripts_Philosophy,dann,94
Transcripts_Philosophy,sein,76
Transcripts_Philosophy,immer,73
Transcripts_Philosophy,noch,71
Transcripts_Philosophy,da,71
Transcripts_Philosophy,also,70
Transcripts_Philosophy,mensch,69
Transcripts_Philosophy,jetzt,66
Transcripts_Philosophy,mal,64
Transcripts_Philosophy,vielleicht,64
Transcripts_Philosophy,nur,59
Transcripts_Philosophy,leben,59
Transcripts_Philosophy,gut,57
Transcripts_Philosophy,geben,57
Transcripts_Philosophy,fehler,55
Transcripts_Politics and Law,auch,190
Transcripts_Politics and Law,so,138
Transcripts_Politics and Law,haben,124
Transcripts_Politics and Law,mensch,104
Transcripts_Politics and Law,dann,94
Transcripts_Politics and Law,jetzt,86
Transcripts_Politics and Law,ganz,79
Transcripts_Politics and Law,hier,76
Transcripts_Politics and Law,sagen,75
Transcripts_Politics and Law,ja,73
Transcripts_Politics and Law,machen,71
Transcripts_Politics and Law,geben,69
Transcripts_Politics and Law,jahr,67
Transcripts_Politics and Law,noch,67
Transcripts_Politics and Law,mal,64
Transcripts_Politics and Law,nur,61
Transcripts_Politics and Law,gehen,60
Transcripts_Politics and Law,immer,60
Transcripts_Politics and Law,schon,59
Transcripts_Politics and Law,demokratie,54
Transcripts_Psychology,so,201
Transcripts_Psychology,haben,165
Transcripts_Psychology,auch,142
Transcripts_Psychology,dann,131
Transcripts_Psychology,sagen,118
Transcripts_Psychology,ja,106
Transcripts_Psychology,machen,86
Transcripts_Psychology,ganz,82
Transcripts_Psychology,jetzt,78
Transcripts_Psychology,da,75
Transcripts_Psychology,denken,72
Transcripts_Psychology,gehen,68
Transcripts_Psychology,noch,66
Transcripts_Psychology,nur,65
Transcripts_Psychology,geben,64
Transcripts_Psychology,gut,61
Transcripts_Psychology,mal,61
Transcripts_Psychology,mensch,61
Transcripts_Psychology,sein,58
Transcripts_Psychology,kommen,57
Transcripts_Science,auch,193
Transcripts_Science,so,167
Transcripts_Science,dann,130
Transcripts_Science,haben,103
Transcripts_Science,machen,94
Transcripts_Science,jetzt,94
Transcripts_Science,also,92
Transcripts_Science,geben,80
Transcripts_Science,da,78
Transcripts_Science,mal,74
Transcripts_Science,sehr,74
Transcripts_Science,hier,73
Transcripts_Science,noch,70
Transcripts_Science,sehen,67
Transcripts_Science,ganz,66
Transcripts_Science,gehen,53
Transcripts_Science,nur,52
Transcripts_Science,jahr,52
Transcripts_Science,mensch,52
Transcripts_Science,sagen,51
Transcripts_Technology,auch,215
Transcripts_Technology,so,188
Transcripts_Technology,haben,173
Transcripts_Technology,dann,167
Transcripts_Technology,machen,120
Transcripts_Technology,da,117
Transcripts_Technology,jetzt,116
Transcripts_Technology,mensch,103
Transcripts_Technology,ganz,99
Transcripts_Technology,gehen,96
Transcripts_Technology,geben,90
Transcripts_Technology,wie,88
Transcripts_Technology,hier,78
Transcripts_Technology,sagen,77
Transcripts_Technology,ja,77
Transcripts_Technology,immer,76
Transcripts_Technology,eigentlich,74
Transcripts_Technology,also,74
Transcripts_Technology,schon,73
Transcripts_Technology,wo,72
