language,discipline,adjective,count
en,,good,848
en,,other,725
en,,more,602
en,,new,542
en,,many,490
en,,first,459
en,,little,433
en,,same,411
en,,different,389
en,,right,365
en,,human,347
en,,great,334
en,,old,316
en,,big,281
en,,own,274
en,,bad,251
en,,important,248
en,,last,244
en,,high,242
en,,few,234
de,,gut,974
de,,groß,602
de,,neu,471
de,,erst,406
de,,klein,359
de,,ganz,353
de,,wichtig,326
de,,tatsächlich,318
de,,letzt,286
de,,lang,244
de,,alt,239
de,,weit,236
de,,richtig,224
de,,eigen,218
de,,einfach,216
de,,menschlich,211
de,,paar,209
de,,nah,207
de,,verschieden,201
de,,genau,194
